PRESS | y
PRESS | o
PRESS | p
PRESS | j
PRESS | s
PRESS | Key.esc
2026-08-24 14:46:35.721 | PRESS | u
2026-08-24 14:46:36.866 | PRESS | p
2026-08-24 14:46:37.589 | PRESS | m
2026-08-24 14:46:38.091 | PRESS | w
2026-08-24 14:46:38.838 | PRESS | Key.esc
2026-08-24 15:23:58.712 | RELEASE | evento_082 | 'n'
2026-08-24 15:23:58.798 | PRESS | evento_083 | Key.space
2026-08-24 15:23:58.879 | RELEASE | evento_084 | Key.space
2026-08-24 15:24:01.785 | PRESS | evento_085 | v
2026-08-24 15:24:01.855 | RELEASE | evento_086 | 'v'
2026-08-24 15:24:01.887 | PRESS | evento_087 | s
2026-08-24 15:24:01.991 | RELEASE | evento_088 | 's'
2026-08-24 15:24:02.094 | PRESS | evento_089 | Key.space
2026-08-24 15:24:02.154 | RELEASE | evento_090 | Key.space
2026-08-24 15:24:02.978 | PRESS | evento_091 | s
2026-08-24 15:24:03.047 | RELEASE | evento_092 | 's'
2026-08-24 15:24:03.300 | PRESS | evento_093 | e
2026-08-24 15:24:03.363 | RELEASE | evento_094 | 'e'
2026-08-24 15:24:03.467 | PRESS | evento_095 | Key.space
2026-08-24 15:24:03.550 | RELEASE | evento_096 | Key.space
2026-08-24 15:24:03.665 | PRESS | evento_097 | e
2026-08-24 15:24:03.720 | RELEASE | evento_098 | 'e'
2026-08-24 15:24:03.819 | PRESS | evento_099 | s
2026-08-24 15:24:03.896 | RELEASE | evento_100 | 's'
2026-08-24 15:24:03.926 | PRESS | evento_101 | t
2026-08-24 15:24:03.995 | RELEASE | evento_102 | 't'
2026-08-24 15:24:04.046 | PRESS | evento_103 | a
2026-08-24 15:24:04.129 | RELEASE | evento_104 | 'a'
2026-08-24 15:24:04.442 | PRESS | evento_105 | Key.space
2026-08-24 15:24:04.518 | RELEASE | evento_106 | Key.space
2026-08-24 15:24:04.725 | PRESS | evento_107 | p
2026-08-24 15:24:04.815 | RELEASE | evento_108 | 'p'
2026-08-24 15:24:04.955 | PRESS | evento_109 | r
2026-08-24 15:24:05.063 | PRESS | evento_110 | e
2026-08-24 15:24:05.065 | RELEASE | evento_111 | 'r'
2026-08-24 15:24:05.167 | RELEASE | evento_112 | 'e'
2026-08-24 15:24:05.235 | PRESS | evento_113 | s
2026-08-24 15:24:05.320 | RELEASE | evento_114 | 's'
2026-08-24 15:24:05.359 | PRESS | evento_115 | i
2026-08-24 15:24:05.424 | RELEASE | evento_116 | 'i'
2026-08-24 15:24:05.504 | PRESS | evento_117 | o
2026-08-24 15:24:05.583 | RELEASE | evento_118 | 'o'
2026-08-24 15:24:05.673 | PRESS | evento_119 | n
2026-08-24 15:24:05.755 | PRESS | evento_120 | a
2026-08-24 15:24:05.757 | RELEASE | evento_121 | 'n'
2026-08-24 15:24:05.848 | RELEASE | evento_122 | 'a'
2026-08-24 15:24:05.854 | PRESS | evento_123 | n
2026-08-24 15:24:05.927 | RELEASE | evento_124 | 'n'
2026-08-24 15:24:05.962 | PRESS | evento_125 | d
2026-08-24 15:24:06.024 | RELEASE | evento_126 | 'd'
2026-08-24 15:24:06.054 | PRESS | evento_127 | o
2026-08-24 15:24:06.137 | RELEASE | evento_128 | 'o'
2026-08-24 15:24:06.234 | PRESS | evento_129 | Key.space
2026-08-24 15:24:06.318 | RELEASE | evento_130 | Key.space
2026-08-24 15:24:06.383 | PRESS | evento_131 | t
2026-08-24 15:24:06.456 | RELEASE | evento_132 | 't'
2026-08-24 15:24:06.489 | PRESS | evento_133 | o
2026-08-24 15:24:06.569 | RELEASE | evento_134 | 'o'
2026-08-24 15:24:06.622 | PRESS | evento_135 | d
2026-08-24 15:24:06.671 | PRESS | evento_136 | o
2026-08-24 15:24:06.686 | RELEASE | evento_137 | 'd'
2026-08-24 15:24:06.751 | RELEASE | evento_138 | 'o'
2026-08-24 15:24:06.869 | PRESS | evento_139 | Key.space
2026-08-24 15:24:06.941 | RELEASE | evento_140 | Key.space
2026-08-24 15:24:07.041 | PRESS | evento_141 | j
2026-08-24 15:24:07.127 | RELEASE | evento_142 | 'j'
2026-08-24 15:24:07.148 | PRESS | evento_143 | a
2026-08-24 15:24:07.188 | PRESS | evento_144 | j
2026-08-24 15:24:07.211 | RELEASE | evento_145 | 'a'
2026-08-24 15:24:07.279 | RELEASE | evento_146 | 'j'
2026-08-24 15:24:07.280 | PRESS | evento_147 | a
2026-08-24 15:24:07.344 | PRESS | evento_148 | j
2026-08-24 15:24:07.356 | RELEASE | evento_149 | 'a'
2026-08-24 15:24:07.395 | RELEASE | evento_150 | 'j'
2026-08-24 15:24:07.660 | PRESS | evento_151 | ,
2026-08-24 15:24:07.735 | RELEASE | evento_152 | ','
2026-08-24 15:24:07.848 | PRESS | evento_153 | Key.space
2026-08-24 15:24:07.904 | RELEASE | evento_154 | Key.space
2026-08-24 15:24:08.052 | PRESS | evento_155 | n
2026-08-24 15:24:08.133 | RELEASE | evento_156 | 'n'
2026-08-24 15:24:08.244 | PRESS | evento_157 | o
2026-08-24 15:24:08.316 | RELEASE | evento_158 | 'o'
2026-08-24 15:24:08.428 | PRESS | evento_159 | Key.space
2026-08-24 15:24:08.504 | RELEASE | evento_160 | Key.space
2026-08-24 15:24:08.585 | PRESS | evento_161 | m
2026-08-24 15:24:08.662 | PRESS | evento_162 | e
2026-08-24 15:24:08.668 | RELEASE | evento_163 | 'm'
2026-08-24 15:24:08.746 | RELEASE | evento_164 | 'e'
2026-08-24 15:24:08.749 | PRESS | evento_165 | Key.space
2026-08-24 15:24:08.831 | RELEASE | evento_166 | Key.space
2026-08-24 15:24:08.865 | PRESS | evento_167 | d
2026-08-24 15:24:08.932 | RELEASE | evento_168 | 'd'
2026-08-24 15:24:08.972 | PRESS | evento_169 | i
2026-08-24 15:24:09.055 | RELEASE | evento_170 | 'i'
2026-08-24 15:24:09.127 | PRESS | evento_171 | j
2026-08-24 15:24:09.210 | RELEASE | evento_172 | 'j'
2026-08-24 15:24:09.278 | PRESS | evento_173 | i
2026-08-24 15:24:09.355 | RELEASE | evento_174 | 'i'
2026-08-24 15:24:09.447 | PRESS | evento_175 | s
2026-08-24 15:24:09.509 | RELEASE | evento_176 | 's'
2026-08-24 15:24:09.542 | PRESS | evento_177 | t
2026-08-24 15:24:09.605 | RELEASE | evento_178 | 't'
2026-08-24 15:24:09.641 | PRESS | evento_179 | e
2026-08-24 15:24:09.706 | RELEASE | evento_180 | 'e'
2026-08-24 15:24:09.731 | PRESS | evento_181 | Key.space
2026-08-24 15:24:09.811 | RELEASE | evento_182 | Key.space
2026-08-24 15:24:09.851 | PRESS | evento_183 | q
2026-08-24 15:24:09.945 | RELEASE | evento_184 | 'q'
2026-08-24 15:24:09.963 | PRESS | evento_185 | u
2026-08-24 15:24:10.050 | RELEASE | evento_186 | 'u'
2026-08-24 15:24:10.066 | PRESS | evento_187 | e
2026-08-24 15:24:10.131 | RELEASE | evento_188 | 'e'
2026-08-24 15:24:10.162 | PRESS | evento_189 | Key.space
2026-08-24 15:24:10.242 | RELEASE | evento_190 | Key.space
2026-08-24 15:24:10.421 | PRESS | evento_191 | c
2026-08-24 15:24:10.500 | RELEASE | evento_192 | 'c'
2026-08-24 15:24:10.571 | PRESS | evento_193 | e
2026-08-24 15:24:10.620 | RELEASE | evento_194 | 'e'
2026-08-24 15:24:10.669 | PRESS | evento_195 | r
2026-08-24 15:24:10.740 | RELEASE | evento_196 | 'r'
2026-08-24 15:24:10.796 | PRESS | evento_197 | r
2026-08-24 15:24:10.886 | RELEASE | evento_198 | 'r'
2026-08-24 15:24:10.897 | PRESS | evento_199 | a
2026-08-24 15:24:10.973 | RELEASE | evento_200 | 'a'
2026-08-24 15:24:10.984 | PRESS | evento_201 | r
2026-08-24 15:24:11.056 | RELEASE | evento_202 | 'r'
2026-08-24 15:24:11.067 | PRESS | evento_203 | a
2026-08-24 15:24:11.127 | RELEASE | evento_204 | 'a'
2026-08-24 15:24:11.187 | PRESS | evento_205 | Key.space
2026-08-24 15:24:11.266 | RELEASE | evento_206 | Key.space
2026-08-24 15:24:11.518 | PRESS | evento_207 | l
2026-08-24 15:24:11.607 | RELEASE | evento_208 | 'l'
2026-08-24 15:24:11.656 | PRESS | evento_209 | a
2026-08-24 15:24:11.722 | RELEASE | evento_210 | 'a'
2026-08-24 15:24:11.745 | PRESS | evento_211 | Key.space
2026-08-24 15:24:11.805 | RELEASE | evento_212 | Key.space
2026-08-24 15:24:11.940 | PRESS | evento_213 | t
2026-08-24 15:24:12.013 | RELEASE | evento_214 | 't'
2026-08-24 15:24:12.037 | PRESS | evento_215 | e
2026-08-24 15:24:12.102 | RELEASE | evento_216 | 'e'
2026-08-24 15:24:12.193 | PRESS | evento_217 | r
2026-08-24 15:24:12.249 | RELEASE | evento_218 | 'r'
2026-08-24 15:24:12.250 | PRESS | evento_219 | m
2026-08-24 15:24:12.326 | RELEASE | evento_220 | 'm'
2026-08-24 15:24:12.410 | PRESS | evento_221 | i
2026-08-24 15:24:12.479 | RELEASE | evento_222 | 'i'
2026-08-24 15:24:12.560 | PRESS | evento_223 | n
2026-08-24 15:24:12.654 | RELEASE | evento_224 | 'n'
2026-08-24 15:24:12.682 | PRESS | evento_225 | a
2026-08-24 15:24:12.749 | RELEASE | evento_226 | 'a'
2026-08-24 15:24:12.773 | PRESS | evento_227 | l
2026-08-24 15:24:12.854 | RELEASE | evento_228 | 'l'
2026-08-24 15:24:13.164 | PRESS | evento_229 | Key.enter
2026-08-24 15:24:13.246 | RELEASE | evento_230 | Key.enter
2026-08-24 15:24:28.274 | PRESS | evento_231 | Key.ctrl_l
2026-08-24 15:24:28.420 | PRESS | evento_232 | 
2026-08-24 15:24:28.493 | RELEASE | evento_233 | '\x03'
2026-08-24 15:24:28.645 | RELEASE | evento_234 | Key.ctrl_l
2026-08-24 15:24:30.089 | PRESS | evento_235 | Key.esc
2026-08-24 15:24:30.159 | RELEASE | evento_236 | Key.esc
2026-08-24 15:29:07.070 | PRESS | evento_001 | a
2026-08-24 15:29:07.131 | RELEASE | evento_002 | 'a'
2026-08-24 15:29:12.778 | PRESS | evento_003 | Key.esc
2026-08-24 15:29:12.851 | RELEASE | evento_004 | Key.esc
2026-08-24 15:32:34.662 | PRESS | evento_001 | a
2026-08-24 15:32:34.768 | RELEASE | evento_002 | 'a'
2026-08-24 15:32:38.452 | PRESS | evento_003 | Key.esc
2026-08-24 15:33:26.835 | PRESS | evento_001 | a
2026-08-24 15:33:26.924 | RELEASE | evento_002 | 'a'
2026-08-24 15:33:33.767 | PRESS | evento_003 | Key.esc
2026-08-24 15:36:41.041 | PRESS | evento_001 | a
2026-08-24 15:36:41.117 | RELEASE | evento_002 | 'a'
2026-08-24 15:36:45.987 | PRESS | evento_003 | Key.esc
2026-08-24 15:36:46.043 | RELEASE | evento_004 | Key.esc
2026-08-24 15:41:13.509 | PRESS | evento_285 | a
2026-08-24 15:41:13.581 | RELEASE | evento_286 | 'a'
2026-08-24 15:41:18.646 | PRESS | evento_287 | Key.esc
2026-08-24 15:41:18.728 | RELEASE | evento_288 | Key.esc
2026-08-24 15:43:32.010 | PRESS | evento_289 | a
2026-08-24 15:43:32.078 | RELEASE | evento_290 | 'a'
2026-08-24 15:43:36.815 | PRESS | evento_291 | b
2026-08-24 15:43:36.882 | RELEASE | evento_292 | 'b'
2026-08-24 15:43:41.218 | PRESS | evento_293 | Key.esc
2026-08-24 15:43:41.288 | RELEASE | evento_294 | Key.esc
2026-08-24 15:47:10.922 | PRESS | evento_295 | a
2026-08-24 15:47:10.991 | RELEASE | evento_296 | 'a'
2026-08-24 15:47:14.235 | PRESS | evento_297 | b
2026-08-24 15:47:14.294 | RELEASE | evento_298 | 'b'
2026-08-24 15:47:17.146 | PRESS | evento_299 | Key.esc
2026-08-24 15:47:17.216 | RELEASE | evento_300 | Key.esc
